Date,New Cases,New Deaths
2020-03-08,45,4
2020-03-15,179,3
2020-03-22,832,2
2020-03-29,2728,7
2020-04-05,1826,20
2020-04-12,654,25
2020-04-19,297,12
2020-04-26,117,12
2020-05-03,80,14
2020-05-10,146,2
2020-05-17,107,2
2020-05-24,70,4
2020-06-28,205,1
2020-07-05,721,1
2020-07-12,1191,4
2020-07-19,1888,16
2020-07-26,2509,45
2020-08-02,3332,95
2020-08-09,3416,106
2020-08-16,2337,138
2020-08-23,1567,114
2020-08-30,945,97
2020-09-06,660,58
2020-09-13,400,46
2020-09-20,278,36
2020-09-27,131,23
2020-10-04,105,19
2020-10-11,123,5
2020-10-18,139,1
2020-10-25,116,2
2020-11-15,59,3
2020-11-29,78,1
2020-12-06,71,1
2020-12-27,168,1
2021-01-03,187,2
2021-01-17,113,1
2021-02-21,28,1
2021-03-14,80,1
2021-04-04,88,1
2021-04-18,114,2
2021-07-11,549,2
2021-07-18,875,5
2021-07-25,1260,5
2021-08-01,1667,7
2021-08-08,2313,16
2021-08-15,3613,27
2021-08-22,6133,22
2021-08-29,8140,20
2021-09-05,11094,52
2021-09-12,12596,56
2021-09-19,12301,77
2021-09-26,12498,95
2021-10-03,15401,110
2021-10-10,15281,119
2021-10-17,15347,105
2021-10-24,13759,108
2021-10-31,10046,112
2021-11-07,9666,97
2021-11-14,8701,66
2021-11-21,9330,81
2021-11-28,9744,56
2021-12-05,10526,52
2021-12-12,13403,36
2021-12-19,31489,54
2021-12-26,99764,69
2022-01-02,289614,103
2022-01-09,588813,219
2022-01-16,462325,440
2022-01-23,347960,660
2022-01-30,267817,670
2022-02-06,201112,581
2022-02-13,171754,436
2022-02-20,160429,324
2022-02-27,160402,242
2022-03-06,195717,151
2022-03-13,241848,140
2022-03-20,327240,139
2022-03-27,385762,149
2022-04-03,395982,200
2022-04-10,359765,198
2022-04-17,306184,250
2022-04-24,289282,315
2022-05-01,272054,295
2022-05-08,304061,315
2022-05-15,350375,339
2022-05-22,311716,317
2022-05-29,240429,344
2022-06-05,199964,375
2022-06-12,184472,331
2022-06-19,191043,344
2022-06-26,204308,324
2022-07-10,243697,400
2022-07-17,271605,451
2022-07-24,303029,607
2022-07-31,319779,618
2022-08-07,259334,603
2022-08-14,200397,526
2022-08-21,139178,375
2022-08-28,103184,329
2022-09-04,79985,240
2022-09-11,63392,214
2022-09-18,51273,184
2022-09-25,43401,147
2022-10-02,37578,113
2022-10-09,38674,102
2022-10-16,31327,74
2022-10-23,29620,103
2022-10-30,30363,85
2022-11-06,35763,111
2022-11-13,52310,116
2022-11-20,73573,154
2022-11-27,83407,178
2022-12-04,97897,259
2022-12-11,107902,272
2022-12-18,112016,299
2022-12-25,108322,334
2023-01-01,91518,1094
2023-02-05,18922,1161
2023-02-12,17067,96
2023-02-19,17927,89
2023-02-26,17814,90
2023-03-05,18262,78
2023-03-12,19780,78
2023-03-19,21681,88
2023-03-26,23014,93
2023-04-02,25521,103
2023-04-09,27650,123
2023-04-16,27055,131
2023-04-23,29966,146
2023-04-30,29431,155
2023-05-07,29663,173
2023-05-14,31859,173
2023-05-21,37720,170
2023-05-28,41012,213
2023-06-04,39051,232
2023-06-11,33125,226
2023-06-18,22769,183
2023-06-25,16822,59
2023-07-23,6495,-76
2023-07-30,5525,85
2023-08-06,5410,60
2023-08-13,5116,67
2023-08-20,5194,56
2023-08-27,5176,53
2023-09-03,5491,39
2023-09-10,5033,40
2023-09-17,5017,38
2023-09-24,5189,37
2023-10-01,5393,33
2023-10-08,5561,78
2023-10-15,4691,45
2023-10-22,5358,52
2023-10-29,6347,72
2023-11-05,7687,51
2023-11-12,10293,113
2023-11-19,10799,91
2023-11-26,10282,89
2023-12-03,9620,152
2023-12-10,9981,172
2023-12-17,10497,92
2023-12-24,11146,64
2023-12-31,10734,71
2024-01-07,9818,63
2024-01-14,11054,60
2024-01-21,10792,137
2024-01-28,9043,53
2024-02-04,7918,53
2024-02-11,8100,75
2024-02-18,7461,58
2024-02-25,7398,40
2024-03-03,7388,42
2024-03-10,6719,33
2024-03-24,5201,47
2024-03-31,4698,34
2024-04-07,4281,51
2024-04-14,4522,41
2024-04-21,4424,34
2024-04-28,4657,21
2024-05-05,4866,16
2024-05-12,6769,18
2024-05-19,8003,16
